
DECIMAL       HEXADECIMAL     DESCRIPTION
669573        0xA3785         Intel x86 or x64 microcode, sig 0x30003000, pf_mask 0x00, 3000-30-00, rev 0x3ff00, size 2048
669717        0xA3815         Intel x86 or x64 microcode, sig 0x30000000, pf_mask 0x3001fe01, 0000-00-00, rev 0x3ff00, size 12288
669815        0xA3877         Intel x86 or x64 microcode, sig 0xff000000, pf_mask 0x00, 0000-00-00, size 2048
669860        0xA38A4         Broadcom firmware header Corporatio 0. Model: þþ. Firmware version: À.
670005        0xA3935         Intel x86 or x64 microcode, sig 0xc600fe00, pf_mask 0x8001c000, 0000-7C-00, rev 0x3ff00, size 2080439809
670278        0xA3A46         Broadcom firmware header Corporatio . Model: . Firmware version: .
670292        0xA3A54         Broadcom firmware header Corporatio . Model: . Firmware version: Àà.
670314        0xA3A6A         Broadcom firmware header Corporatio . Model: Àà. Firmware version: .
670363        0xA3A9B         Intel x86 or x64 microcode, pf_mask 0x01, 0003-00-00, rev 0x-1000000, size 1
670387        0xA3AB3         Intel x86 or x64 microcode, pf_mask 0x00, 0001-00-00, rev 0x-1fe0200, size 2013273600
670395        0xA3ABB         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x78001e00, 0000-FF-00, size 2013388801
670545        0xA3B51         Intel x86 or x64 microcode, sig 0xc600fe00, pf_mask 0x8601c600, 0000-7E-00, rev 0x3ff00, size 2113994241
670689        0xA3BE1         Intel x86 or x64 microcode, sig 0x0601fe01, pf_mask 0x6000600, 0000-FE-00, rev 0x3ff00, size 100664832
670761        0xA3C29         Intel x86 or x64 microcode, sig 0x86018601, pf_mask 0x86018601, 0000-86-00, rev 0x3ff00, size 2248246785
670797        0xA3C4D         Intel x86 or x64 microcode, sig 0x3000fc00, pf_mask 0x30003000, 0000-FC-00, rev 0x3ff00, size 4227922944
670905        0xA3CB9         Intel x86 or x64 microcode, sig 0x06000600, pf_mask 0x6000600, 0000-06-00, rev 0x3ff00, size 4261543424
670941        0xA3CDD         Intel x86 or x64 microcode, sig 0xce018601, pf_mask 0xb601b601, 0000-86-00, rev 0x3ff00, size 2248246785
670977        0xA3D01         Intel x86 or x64 microcode, sig 0x8e018601, pf_mask 0xe601e601, 0000-86-00, rev 0x3ff00, size 2248246785
671013        0xA3D25         Intel x86 or x64 microcode, sig 0xce00fc00, pf_mask 0x86018601, 0000-78-00, rev 0x3ff00, size 2013330433
671157        0xA3DB5         Intel x86 or x64 microcode, sig 0xc600fe00, pf_mask 0x8001e000, 0000-7C-00, rev 0x3ff00, size 2080439809
671373        0xA3E8D         Intel x86 or x64 microcode, sig 0xce018601, pf_mask 0x30003000, 0000-86-00, rev 0x3ff00, size 805318656
671445        0xA3ED5         Intel x86 or x64 microcode, sig 0x18001800, pf_mask 0x18001800, F800-F8-00, rev 0x3ff00, size 4160755712
671661        0xA3FAD         Intel x86 or x64 microcode, pf_mask 0xfe00fc00, 0000-00-00, rev 0x3ff00, size 3187801856
671697        0xA3FD1         Intel x86 or x64 microcode, sig 0x06000600, pf_mask 0x86018601, 0000-06-00, rev 0x3ff00, size 1979776513
671805        0xA403D         Intel x86 or x64 microcode, pf_mask 0xfe01fe01, 0000-00-00, rev 0x3ff00, size 4160879617
671949        0xA40CD         Intel x86 or x64 microcode, sig 0x00003800, pf_mask 0x30003000, 0000-38-00, rev 0x3ff00, size 805318656
671962        0xA40DA         Broadcom firmware header Corporatio . Model: . Firmware version: ¶¶¶.
672057        0xA4139         Intel x86 or x64 microcode, sig 0x30003c00, pf_mask 0x30003000, 0000-3C-00, rev 0x3ff00, size 805318656
672129        0xA4181         Intel x86 or x64 microcode, pf_mask 0x86018601, 0000-00-00, rev 0x3ff00, size 2248246785
672165        0xA41A5         Intel x86 or x64 microcode, pf_mask 0x86018601, 0000-00-00, rev 0x3ff00, size 2013330433
672417        0xA42A1         Intel x86 or x64 microcode, pf_mask 0xcc00cc01, 0000-00-00, rev 0x3ff00, size 805318656
672525        0xA430D         Intel x86 or x64 microcode, pf_mask 0x7800cc00, 0000-00-00, rev 0x3ff00, size 503330816
672597        0xA4355         Intel x86 or x64 microcode, pf_mask 0x6000600, 0000-00-00, rev 0x3ff00, size 1006694401
672650        0xA438A         Broadcom firmware header Corporatio ÿ. Model: x. Firmware version: .
672659        0xA4393         Intel x86 or x64 microcode, sig 0xff000000, pf_mask 0x8e018600, 0000-00-00, rev 0x38003800, size 3053565441
672666        0xA439A         Broadcom firmware header Corporatio ¶¶ææÆÆ. Model: . Firmware version: þþ.
672705        0xA43C1         Intel x86 or x64 microcode, sig 0x0000e201, pf_mask 0x86018601, 1C00-FE-01, rev 0x3ff00, size 2248246785
672741        0xA43E5         Intel x86 or x64 microcode, sig 0xfe000000, pf_mask 0xfe01fe01, 0000-00-00, rev 0x3ff00, size 4261543425
672777        0xA4409         Intel x86 or x64 microcode, sig 0x78000000, pf_mask 0xfe00cc00, F000-38-00, rev 0x3ff00, size 2248246785
672788        0xA4414         Broadcom firmware header Corporatio . Model: Ì. Firmware version: Îü.
672813        0xA442D         Intel x86 or x64 microcode, sig 0xfe000000, pf_mask 0x600fe00, F000-38-00, rev 0x3ff00, size 4261543424
672824        0xA4438         Broadcom firmware header Corporatio þ. Model: . Firmware version: Îü¸.
672849        0xA4451         Intel x86 or x64 microcode, sig 0x78000000, pf_mask 0x86018601, F000-38-00, rev 0x3ff00, size 2013330433
672860        0xA445C         Broadcom firmware header Corporatio x. Model: 0. Firmware version: .
672896        0xA4480         Broadcom firmware header Corporatio x. Model: . Firmware version: 0.
672993        0xA44E1         Intel x86 or x64 microcode, sig 0x38001800, pf_mask 0x00, 3000-18-00, rev 0x3ff00, size 2048
673010        0xA44F2         Broadcom firmware header Corporatio ÿ. Model: . Firmware version: .
673231        0xA45CF         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2080389120
673272        0xA45F8         Broadcom firmware header Corporatio î. Model: Ì. Firmware version: .
673334        0xA4636         LZMA compressed data, properties: 0x66, dictionary size: 0 bytes, uncompressed size: 0 bytes
673389        0xA466D         Intel x86 or x64 microcode, sig 0x30018600, pf_mask 0xfe00cc00, 7800-FC-00, rev 0x3ff00, size 2248246785
673425        0xA4691         Intel x86 or x64 microcode, sig 0xce00fc00, pf_mask 0xce018600, 0000-78-00, rev 0x3ff00, size 1006645248
673497        0xA46D9         Intel x86 or x64 microcode, sig 0xfe000000, pf_mask 0x600fe00, 7800-CC-00, rev 0x3ff00, size 4261543424
673533        0xA46FD         Intel x86 or x64 microcode, sig 0xfe000000, pf_mask 0x600fe00, CC00-CC-00, rev 0x3ff00, size 4261543424
673569        0xA4721         Intel x86 or x64 microcode, sig 0x0000cc00, pf_mask 0xfe01fe01, 0000-CC-00, rev 0x3ff00, size 4160879617
673821        0xA481D         Intel x86 or x64 microcode, sig 0x0000cc00, pf_mask 0x86018601, 3000-78-00, rev 0x3ff00, size 2013330433
673893        0xA4865         Intel x86 or x64 microcode, pf_mask 0x98019800, 0000-00-00, rev 0x3ff00, size 1711302144
673965        0xA48AD         Intel x86 or x64 microcode, sig 0x0000e201, pf_mask 0xfe00fc00, 1C00-FE-01, rev 0x3ff00, size 3187801856
674001        0xA48D1         Intel x86 or x64 microcode, sig 0xfc000000, pf_mask 0x30003000, F000-38-00, rev 0x3ff00, size 4227922944
674012        0xA48DC         Broadcom firmware header Corporatio ü. Model: . Firmware version: Îü.
674376        0xA4A48         LZMA compressed data, properties: 0xC6, dictionary size: 0 bytes, uncompressed size: 0 bytes
674541        0xA4AED         Intel x86 or x64 microcode, sig 0x0000cc00, pf_mask 0xfe00fc00, 0000-CC-00, rev 0x3ff00, size 3187801856
674577        0xA4B11         Intel x86 or x64 microcode, sig 0x78000000, pf_mask 0x86018601, CC00-CC-00, rev 0x3ff00, size 2013330433
674755        0xA4BC3         Intel x86 or x64 microcode, sig 0x30003000, pf_mask 0x30003000, 3003-30-00, rev 0x-1000000, size 805318656
674829        0xA4C0D         Intel x86 or x64 microcode, sig 0xf800cc00, pf_mask 0xfe00fc00, 7800-CC-00, rev 0x3ff00, size 3187801856
674865        0xA4C31         Intel x86 or x64 microcode, sig 0xce01fc01, pf_mask 0x9e01b601, 0000-B8-00, rev 0x3ff00, size 1979776513
